MM  DD  YYYY  HH  MM  SS    C     F   RH(%)   Pressure(mbar)
08  09  2019  11  52  34  27.5  81.5  52.23   1,006.2
08  09  2019  11  52  35  27.5  81.5  52.18   1,006.2
08  09  2019  11  52  36  27.5  81.5  52.17   1,006.2
08  09  2019  11  52  37  27.5  81.5  51.98   1,006.2
08  09  2019  11  52  38  27.5  81.4  51.52   1,006.2
08  09  2019  11  52  39  27.5  81.5  51.64   1,006.2
08  09  2019  11  52  40  27.5  81.5  51.55   1,006.2
08  09  2019  11  52  41  27.5  81.5  51.39   1,006.2
08  09  2019  11  52  42  27.5  81.5  51.16   1,006.2
08  09  2019  11  52  43  27.5  81.5  50.89   1,006.2
08  09  2019  11  52  44  27.5  81.5  50.79   1,006.2
08  09  2019  11  52  45  27.5  81.5  50.79   1,006.2
08  09  2019  11  52  45  27.5  81.5  50.79   1,006.2
08  09  2019  11  52  45  27.5  81.5  50.79   1,006.2
08  09  2019  11  52  45  27.5  81.5  50.79   1,006.2
08  09  2019  11  52  45  27.5  81.5  50.79   1,006.2
08  09  2019  11  52  45  27.5  81.5  50.79   1,006.2
08  09  2019  11  52  45  27.5  81.5  50.79   1,006.2
08  09  2019  11  52  45  27.5  81.5  50.79   1,006.2
08  09  2019  11  52  45  27.5  81.5  50.79   1,006.2
08  09  2019  11  52  45  27.5  81.5  50.79   1,006.2
08  09  2019  11  52  45  27.5  81.5  50.79   1,006.2
08  09  2019  11  52  45  27.5  81.5  50.79   1,006.2
08  09  2019  11  52  45  27.5  81.5  51.06   1,006.2
08  09  2019  11  52  46  27.5  81.5  51.06   1,006.2
08  09  2019  11  52  46  27.5  81.5  51.06   1,006.2
08  09  2019  11  52  46  27.5  81.5  51.22   1,006.2
08  09  2019  11  52  47  27.5  81.5  51.34   1,006.2
08  09  2019  11  52  48  27.5  81.5  51.31   1,006.2
08  09  2019  11  52  49  27.5  81.5  51.19   1,006.2
08  09  2019  11  52  50  27.5  81.5  50.95   1,006.2
08  09  2019  11  52  51  27.5  81.5  51.14   1,006.2
08  09  2019  11  52  52  27.5  81.5  51.1   1,006.2
08  09  2019  11  52  53  27.5  81.5  51.37   1,006.2
08  09  2019  11  52  54  27.5  81.5  51.43   1,006.2
08  09  2019  11  52  55  27.5  81.5  51.52   1,006.2
08  09  2019  11  52  56  27.5  81.5  51.65   1,006.2
08  09  2019  11  52  57  27.5  81.5  51.63   1,006.2
08  09  2019  11  52  58  27.5  81.5  51.59   1,006.2
08  09  2019  11  52  59  27.5  81.5  51.63   1,006.2
08  09  2019  11  53  00  27.5  81.5  51.43   1,006.2
08  09  2019  11  53  02  27.5  81.5  51.43   1,006.2
08  09  2019  11  53  02  27.5  81.5  51.43   1,006.2
08  09  2019  11  53  02  27.5  81.5  51.43   1,006.2
08  09  2019  11  53  02  27.5  81.5  51.43   1,006.2
08  09  2019  11  53  02  27.5  81.5  51.43   1,006.2
08  09  2019  11  53  02  27.5  81.5  51.43   1,006.2
08  09  2019  11  53  02  27.5  81.5  51.12   1,006.2
08  09  2019  11  53  03  27.5  81.5  51.12   1,006.2
08  09  2019  11  53  03  27.5  81.5  51.07   1,006.2
08  09  2019  11  53  04  27.5  81.5  51.21   1,006.2
08  09  2019  11  53  05  27.5  81.5  51.26   1,006.2
08  09  2019  11  53  06  27.5  81.5  51.36   1,006.2
