MM  DD  YYYY  HH  MM  SS    C     F   RH(%)
08  06  2019  14  13  06  28.8  83.9  50.96
08  06  2019  14  13  06  28.8  83.9  50.96
08  06  2019  14  13  06  28.8  83.9  50.96
08  06  2019  14  13  06  28.8  83.9  50.96
08  06  2019  14  13  06  28.8  83.9  50.96
08  06  2019  14  13  06  28.8  83.9  50.96
08  06  2019  14  13  06  28.8  83.9  50.96
08  06  2019  14  13  06  28.8  83.9  50.96
08  06  2019  14  13  06  28.8  83.9  50.96
08  06  2019  14  13  06  28.8  83.9  50.96
08  06  2019  14  13  06  28.8  83.9  50.91
08  06  2019  14  13  07  28.8  83.9  50.87
08  06  2019  14  13  08  28.8  83.9  50.94
08  06  2019  14  13  09  28.8  83.9  51.09
08  06  2019  14  13  10  28.8  83.9  51.82
08  06  2019  14  13  11  28.9  83.9  52.02
08  06  2019  14  13  12  28.9  83.9  51.81
08  06  2019  14  13  13  28.9  83.9  51.66
08  06  2019  14  13  14  28.9  83.9  51.98
08  06  2019  14  13  15  28.9  83.9  52.27
08  06  2019  14  13  16  28.8  83.9  51.92
08  06  2019  14  13  17  28.8  83.9  51.69
08  06  2019  14  13  18  28.8  83.9  51.38
08  06  2019  14  13  19  28.8  83.9  51.37
08  06  2019  14  13  20  28.8  83.9  51.01
08  06  2019  14  13  21  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
08  06  2019  14  13  22  28.8  83.9  50.99
