MM  DD  YYYY  HH  MM  SS    C     F   RH(%)
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.25
08  06  2019  14  16  06  28.8  83.8  47.19
08  06  2019  14  16  07  28.8  83.8  47.46
08  06  2019  14  16  09  28.8  83.8  47.49
08  06  2019  14  16  10  28.8  83.8  47.32
08  06  2019  14  16  11  28.8  83.8  47.32
08  06  2019  14  16  12  28.8  83.8  47.31
08  06  2019  14  16  13  28.8  83.8  47.28
08  06  2019  14  16  14  28.8  83.8  47.17
08  06  2019  14  16  15  28.8  83.8  47.02
08  06  2019  14  16  16  28.8  83.8  46.77
08  06  2019  14  16  17  28.7  83.7  46.57
08  06  2019  14  16  18  28.8  83.8  46.56
08  06  2019  14  16  19  28.8  83.8  46.5
08  06  2019  14  16  20  28.8  83.8  46.46
08  06  2019  14  16  21  28.8  83.8  46.35
08  06  2019  14  16  22  28.8  83.8  46.36
08  06  2019  14  16  23  28.8  83.8  46.36
08  06  2019  14  16  23  28.8  83.8  46.36
08  06  2019  14  16  23  28.8  83.8  46.36
08  06  2019  14  16  23  28.8  83.8  46.36
08  06  2019  14  16  23  28.8  83.8  46.36
08  06  2019  14  16  23  28.8  83.8  46.36
08  06  2019  14  16  23  28.8  83.8  46.36
08  06  2019  14  16  23  28.8  83.8  46.36
08  06  2019  14  16  23  28.8  83.8  46.36
08  06  2019  14  16  23  28.8  83.8  46.36
08  06  2019  14  16  23  28.8  83.8  46.36
08  06  2019  14  16  23  28.8  83.8  46.44
08  06  2019  14  16  24  28.7  83.7  46.49
08  06  2019  14  16  25  28.7  83.7  46.69
08  06  2019  14  16  26  28.7  83.7  46.92
08  06  2019  14  16  27  28.7  83.7  47.07
08  06  2019  14  16  28  28.7  83.7  46.99
08  06  2019  14  16  29  28.7  83.7  47.17
08  06  2019  14  16  30  28.7  83.7  47.01
08  06  2019  14  16  31  28.7  83.7  46.85
08  06  2019  14  16  32  28.7  83.7  46.85
08  06  2019  14  16  33  28.7  83.7  46.97
08  06  2019  14  16  34  28.7  83.7  46.94
08  06  2019  14  16  35  28.7  83.7  46.81
08  06  2019  14  16  36  28.7  83.7  46.77
08  06  2019  14  16  37  28.7  83.7  46.73
08  06  2019  14  16  38  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.79
08  06  2019  14  16  39  28.7  83.7  46.66
08  06  2019  14  16  40  28.7  83.7  46.84
08  06  2019  14  16  41  28.7  83.7  46.69
08  06  2019  14  16  42  28.7  83.7  46.95
08  06  2019  14  16  43  28.7  83.7  47.05
08  06  2019  14  16  44  28.7  83.7  46.92
08  06  2019  14  16  45  28.7  83.7  46.85
08  06  2019  14  16  46  28.7  83.7  46.7
08  06  2019  14  16  47  28.7  83.7  46.42
08  06  2019  14  16  48  28.7  83.7  46.32
08  06  2019  14  16  50  28.7  83.7  46.54
08  06  2019  14  16  51  28.7  83.7  46.74
08  06  2019  14  16  52  28.7  83.7  46.66
08  06  2019  14  16  53  28.7  83.6  46.52
08  06  2019  14  16  54  28.7  83.6  46.53
08  06  2019  14  16  55  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.66
08  06  2019  14  16  56  28.7  83.7  46.61
08  06  2019  14  16  57  28.7  83.7  46.51
