MM  DD  YYYY  HH  MM  SS    C     F   RH(%)
08  01  2019  13  27  10  29.0  84.3  56.03
08  01  2019  13  27  12  29.0  84.2  55.66
08  01  2019  13  27  14  29.0  84.2  55.66
08  01  2019  13  27  14  29.0  84.3  55.63
08  01  2019  13  27  16  29.0  84.2  55.21
08  01  2019  13  27  18  29.0  84.2  55.12
08  01  2019  13  27  20  29.0  84.3  55.48
08  01  2019  13  27  22  29.0  84.3  55.3
08  01  2019  13  27  24  29.0  84.3  55.31
08  01  2019  13  27  26  29.0  84.3  56.16
08  01  2019  13  27  28  29.0  84.3  55.95
08  01  2019  13  27  30  29.0  84.3  55.55
08  01  2019  13  27  32  29.0  84.3  55.25
08  01  2019  13  27  35  29.0  84.3  55.07
08  01  2019  13  27  37  29.0  84.3  54.95
08  01  2019  13  27  39  29.0  84.3  55.16
08  01  2019  13  27  41  29.0  84.3  55.36
08  01  2019  13  27  43  29.0  84.3  55.67
08  01  2019  13  27  45  29.1  84.3  55.59
