MM  DD  YYYY  HH  MM  SS    C     F   RH(%)
07  31  2019  11  59  31  28.2  82.8  55.06
07  31  2019  11  59  33  28.2  82.8  55.09
07  31  2019  11  59  35  28.2  82.8  55.08
07  31  2019  11  59  37  28.2  82.8  55.08
07  31  2019  11  59  37  28.2  82.8  55.01
07  31  2019  11  59  39  28.2  82.8  55.02
07  31  2019  11  59  41  28.2  82.8  54.91
07  31  2019  11  59  43  28.2  82.8  54.85
07  31  2019  11  59  45  28.2  82.8  54.9
07  31  2019  11  59  47  28.2  82.8  55.01
07  31  2019  11  59  49  28.2  82.8  55.05
07  31  2019  11  59  51  28.2  82.8  55.07
07  31  2019  11  59  53  28.2  82.8  55.04
07  31  2019  11  59  55  28.2  82.8  55.02
07  31  2019  11  59  57  28.2  82.8  55.02
07  31  2019  11  59  59  28.2  82.8  54.98
07  31  2019  12  00  01  28.2  82.8  54.97
07  31  2019  12  00  03  28.2  82.8  55.08
07  31  2019  12  00  05  28.2  82.8  55.28
07  31  2019  12  00  07  28.2  82.8  55.32
07  31  2019  12  00  09  28.2  82.8  55.32
07  31  2019  12  00  09  28.2  82.8  55.23
07  31  2019  12  00  11  28.2  82.8  55.33
07  31  2019  12  00  13  28.2  82.8  55.5
07  31  2019  12  00  15  28.2  82.8  55.79
07  31  2019  12  00  17  28.2  82.8  55.82
07  31  2019  12  00  19  28.2  82.8  55.78
07  31  2019  12  00  21  28.2  82.8  55.78
07  31  2019  12  00  23  28.2  82.8  55.68
