MM  DD  YYYY  HH  MM  SS    C     F   RH(%)    Pressure
08  16  2019  09  33  33  27.2  81.0  49.38    996.8
08  16  2019  09  33  34  27.2  81.0  49.51    996.8
08  16  2019  09  33  35  27.2  81.0  49.69    996.8
08  16  2019  09  33  36  27.2  81.0  49.4    996.8
08  16  2019  09  33  37  27.2  80.9  49    996.8
08  16  2019  09  33  38  27.2  80.9  48.78    996.8
08  16  2019  09  33  39  27.2  80.9  48.72    996.8
08  16  2019  09  33  40  27.2  80.9  48.64    996.8
08  16  2019  09  33  41  27.2  80.9  48.6    996.8
08  16  2019  09  33  42  27.2  80.9  48.58    996.8
08  16  2019  09  33  43  27.2  80.9  48.59    996.8
